Date,Open,High,Low,Close,Adj Close,Volume,Name
2017-10-11,55.900001525878906,56.54999923706055,55.779998779296875,56.380001068115234,39.31601333618164,1518900,OKE
2017-10-12,55.97999954223633,56.58000183105469,55.68000030517578,56.40999984741211,39.336936950683594,2335900,OKE
2017-10-13,56.869998931884766,56.97999954223633,56.2599983215332,56.470001220703125,39.37876892089844,2089200,OKE
2017-10-16,56.369998931884766,56.599998474121094,56.09000015258789,56.25,39.22536087036133,1633000,OKE
2017-10-17,56.25,56.45000076293945,56.08000183105469,56.41999816894531,39.343910217285156,1400500,OKE
2017-10-18,56.459999084472656,56.54999923706055,55.220001220703125,55.369998931884766,38.611698150634766,2109000,OKE
2017-10-19,55.04999923706055,55.81999969482422,55.04999923706055,55.810001373291016,38.91852951049805,1382300,OKE
2017-10-20,55.939998626708984,56.13999938964844,55.720001220703125,56.0,39.05101776123047,2309100,OKE
2017-10-23,56.130001068115234,56.220001220703125,54.97999954223633,55.04999923706055,38.388553619384766,2341900,OKE
2017-10-24,55.279998779296875,56.11000061035156,54.869998931884766,55.939998626708984,39.00918960571289,3530400,OKE
2017-10-25,55.959999084472656,55.959999084472656,53.47999954223633,53.709999084472656,37.45412063598633,3262100,OKE
2017-10-26,54.0,54.189998626708984,52.81999969482422,53.43000030517578,37.25885772705078,2909500,OKE
2017-10-27,53.130001068115234,54.34000015258789,52.79999923706055,54.08000183105469,37.712135314941406,2053400,OKE
2017-10-30,54.150001525878906,54.619998931884766,53.880001068115234,54.040000915527344,37.68423843383789,1973700,OKE
2017-10-31,54.0,54.369998931884766,53.7599983215332,54.27000045776367,37.844627380371094,2072400,OKE
2017-11-01,54.75,55.75,53.959999084472656,54.529998779296875,38.02592849731445,2724500,OKE
2017-11-02,54.2400016784668,54.4900016784668,52.66999816894531,53.349998474121094,37.20307540893555,3027900,OKE
2017-11-03,52.369998931884766,52.900001525878906,51.70000076293945,52.650001525878906,37.234901428222656,2110000,OKE
2017-11-06,52.650001525878906,52.9900016784668,52.220001220703125,52.79999923706055,37.34098434448242,3077800,OKE
2017-11-07,52.86000061035156,53.369998931884766,52.43000030517578,53.16999816894531,37.60264587402344,2142000,OKE
2017-11-08,53.060001373291016,53.54999923706055,52.84000015258789,53.099998474121094,37.55314254760742,2162800,OKE
2017-11-09,52.810001373291016,53.349998474121094,52.529998779296875,52.9900016784668,37.47535705566406,2040200,OKE
2017-11-10,53.09000015258789,53.189998626708984,52.0,52.400001525878906,37.05809783935547,2437900,OKE
2017-11-13,52.43000030517578,52.83000183105469,52.119998931884766,52.209999084472656,36.92372512817383,2336600,OKE
2017-11-14,52.2400016784668,52.560001373291016,51.27000045776367,51.380001068115234,36.33674621582031,2921700,OKE
2017-11-15,51.150001525878906,51.18000030517578,50.52000045776367,50.83000183105469,35.94777297973633,2611400,OKE
2017-11-16,50.849998474121094,51.02000045776367,50.33000183105469,50.650001525878906,35.820472717285156,2175500,OKE
2017-11-17,50.7599983215332,50.77000045776367,50.29999923706055,50.66999816894531,35.8346061706543,1526500,OKE
2017-11-20,50.650001525878906,50.9900016784668,50.38999938964844,50.83000183105469,35.94777297973633,1964300,OKE
2017-11-21,51.20000076293945,51.349998474121094,50.08000183105469,50.20000076293945,35.50222396850586,2348100,OKE
2017-11-22,50.470001220703125,50.63999938964844,50.20000076293945,50.58000183105469,35.770965576171875,2233000,OKE
2017-11-24,50.83000183105469,51.34000015258789,50.81999969482422,51.040000915527344,36.09628677368164,1056000,OKE
2017-11-27,50.79999923706055,51.029998779296875,49.650001525878906,50.02000045776367,35.374916076660156,2638100,OKE
2017-11-28,50.060001373291016,50.380001068115234,49.68000030517578,50.060001373291016,35.403221130371094,1854000,OKE
2017-11-29,49.90999984741211,50.439998626708984,49.7599983215332,50.43000030517578,35.66489028930664,2074800,OKE
2017-11-30,50.630001068115234,52.06999969482422,50.630001068115234,51.900001525878906,36.704490661621094,4323100,OKE
2017-12-01,52.27000045776367,52.400001525878906,51.59000015258789,52.11000061035156,36.85300064086914,3260300,OKE
2017-12-04,52.130001068115234,52.880001068115234,51.959999084472656,52.290000915527344,36.98030090332031,3566700,OKE
2017-12-05,52.369998931884766,52.58000183105469,52.150001525878906,52.34000015258789,37.01566696166992,2302900,OKE
2017-12-06,52.29999923706055,52.34000015258789,51.45000076293945,51.79999923706055,36.63376235961914,1733400,OKE
2017-12-07,51.810001373291016,52.41999816894531,51.650001525878906,52.40999984741211,37.065162658691406,1848500,OKE
2017-12-08,52.72999954223633,53.119998931884766,52.599998474121094,53.0099983215332,37.489498138427734,2106700,OKE
2017-12-11,53.13999938964844,54.150001525878906,53.0,53.400001525878906,37.76530838012695,3076000,OKE
2017-12-12,53.47999954223633,53.86000061035156,53.11000061035156,53.400001525878906,37.76530838012695,2427500,OKE
2017-12-13,53.470001220703125,53.540000915527344,53.099998474121094,53.220001220703125,37.63800811767578,1861700,OKE
2017-12-14,52.880001068115234,53.470001220703125,52.720001220703125,52.7400016784668,37.298553466796875,2280200,OKE
2017-12-15,52.880001068115234,53.02000045776367,52.060001373291016,52.15999984741211,36.88836669921875,5325700,OKE
2017-12-18,52.47999954223633,52.779998779296875,52.15999984741211,52.349998474121094,37.022735595703125,3723800,OKE
2017-12-19,52.70000076293945,52.70000076293945,51.84000015258789,51.86000061035156,36.67619705200195,2434100,OKE
2017-12-20,52.25,52.25,51.470001220703125,51.5099983215332,36.42867660522461,3059000,OKE
2017-12-21,51.43000030517578,52.400001525878906,51.279998779296875,52.220001220703125,36.93080139160156,3014900,OKE
2017-12-22,52.220001220703125,53.439998626708984,52.13999938964844,53.209999084472656,37.630943298339844,2940400,OKE
2017-12-26,53.29999923706055,53.720001220703125,53.119998931884766,53.2599983215332,37.66630172729492,1621000,OKE
2017-12-27,53.349998474121094,53.400001525878906,53.029998779296875,53.16999816894531,37.60264587402344,2609000,OKE
2017-12-28,53.16999816894531,53.5099983215332,52.959999084472656,53.4900016784668,37.82896041870117,2078000,OKE
2017-12-29,53.619998931884766,53.88999938964844,53.33000183105469,53.45000076293945,37.80067443847656,2527700,OKE
2018-01-02,53.7599983215332,54.75,53.560001373291016,54.650001525878906,38.649330139160156,2547900,OKE
2018-01-03,54.689998626708984,55.84000015258789,54.56999969482422,55.540000915527344,39.27874755859375,2539100,OKE
2018-01-04,55.689998626708984,56.33000183105469,55.45000076293945,56.20000076293945,39.745513916015625,2790800,OKE
2018-01-05,55.25,56.290000915527344,55.06999969482422,56.060001373291016,39.64650344848633,10159500,OKE
2018-01-08,56.18000030517578,56.959999084472656,55.93000030517578,56.63999938964844,40.05669403076172,3640600,OKE
